"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","stockid","primary_FAOarea","scientificname","fao_sp"
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156000,154000,154000,158000,166000,177000,192000,206000,219000,228000,234000,236000,236000,233000,228000,221000,211000,2e+05,190000,181000,173000,167000,164000,165000,169000,176000,182000,187000,191000,195000,197000,198000,196000,190000,183000,174000,167000,160000,156000,NA,NA,NA,"RSOLEGA","67","Lepidopsetta bilineata","67_Lepidopsetta bilineata"
"164",2840,3010,3870,3230,3680,3460,2810,2400,2520,2640,3220,3280,3780,4070,4410,5000,5050,5080,4850,4470,3430,3470,2830,3600,4100,3420,4450,3320,3100,3150,3530,3260,4290,3850,3760,3860,4260,4640,4960,5270,6850,5140,7140,7830,7050,8280,6850,5690,4850,6850,5690,4850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSOLEHSTR","67","Lepidopsetta bilineata","67_Lepidopsetta bilineata"
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197000,201000,197000,181000,169000,172000,170000,156000,134000,92400,70200,37900,13000,24500,42000,60600,61400,52500,55800,49900,54300,57800,71600,83600,99000,103000,103000,97300,84500,69100,53400,34600,16900,5810,9150,15100,25500,47900,75500,98400,110000,109000,99000,84700,68300,52300,37100,24400,NA,NA,NA,"RSQLOBSTERCSCH","87","Pleuroncodes monodon","87_Pleuroncodes monodon"
"166",NA,31400,31100,30600,29800,28400,28000,27800,27500,27200,27000,26100,24900,23200,22000,20600,18400,16600,15500,14900,14800,14800,15100,15300,15400,15600,15700,15800,16100,16300,16500,16600,16800,16900,17200,17400,17600,17800,18100,18300,18400,18600,18700,18600,18400,17700,16800,16000,15100,14400,14100,13600,13100,11500,10700,9670,9310,8860,8750,8920,9080,7440,7040,7150,6930,6210,NA,NA,NA,"SAABALONESA","47","Haliotis midae","47_Haliotis midae"
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535000,549000,616000,620000,618000,633000,687000,691000,684000,649000,597000,538000,492000,445000,401000,360000,333000,294000,265000,322000,356000,373000,418000,446000,488000,491000,502000,491000,458000,415000,372000,355000,325000,318000,296000,275000,257000,253000,238000,249000,259000,259000,290000,295000,299000,291000,285000,275000,266000,256000,259000,251000,243000,226000,208000,202000,NA,NA,NA,"SABLEFEBSAIGA","67","Anoplopoma fimbria","67_Anoplopoma fimbria"
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127000,126000,125000,123000,120000,114000,108000,104000,97200,92800,87500,79800,72900,69100,67200,65200,64400,64800,65500,65800,66500,66400,65500,63800,60800,57400,54300,50900,47500,43900,40400,38100,36700,35000,33200,31800,32300,33300,34600,36100,36300,33700,31200,29700,28700,28500,NA,NA,NA,NA,NA,NA,NA,NA,"SABLEFPCAN","67","Anoplopoma fimbria","67_Anoplopoma fimbria"
"169",259000,256000,252000,249000,246000,244000,242000,240000,239000,240000,243000,246000,252000,260000,270000,284000,3e+05,320000,345000,356000,363000,368000,374000,379000,385000,415000,411000,389000,377000,366000,373000,363000,346000,345000,336000,331000,316000,295000,284000,286000,285000,279000,273000,271000,277000,269000,259000,246000,239000,244000,230000,216000,207000,224000,236000,240000,234000,222000,214000,199000,183000,168000,178000,169000,173000,168000,NA,NA,NA,"SABLEFPCOAST","67","Anoplopoma fimbria","67_Anoplopoma fimbria"
"170",NA,NA,NA,NA,NA,NA,NA,26400,26700,26900,27200,27400,27400,27400,27400,27300,26900,26700,26300,25900,25600,25700,25400,25300,25400,22800,19100,15600,16100,15500,14200,14100,14000,13200,11500,10900,10500,10300,9510,9140,9150,8470,8570,8380,7690,7990,7870,7290,7620,7970,8220,8610,8710,8260,7290,6190,4990,4290,3620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAILEATL","34","Istiophorus albicans","34_Istiophorus albicans"
"171",NA,NA,NA,NA,NA,NA,NA,38300,38300,38200,38200,40900,40600,40200,40000,39500,38700,38300,37800,37200,36600,35500,34600,34200,34000,33600,33300,32800,32300,32000,31500,31200,30700,30100,29400,28800,28300,27600,27100,26600,26200,25600,25100,24400,23700,23200,22600,22100,21600,21000,20300,19500,18700,17400,16600,15800,15000,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAILWATL","31","Istiophorus albicans","31_Istiophorus albicans"
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260000,1280000,1270000,1300000,1410000,1560000,1710000,1710000,1550000,1320000,1150000,1110000,1150000,1180000,1150000,1070000,994000,919000,795000,683000,584000,492000,392000,335000,294000,292000,314000,334000,327000,330000,328000,337000,371000,404000,421000,433000,451000,484000,532000,540000,573000,NA,NA,NA,"SARDMEDGSA17-18","37","Sardina pilchardus","37_Sardina pilchardus"
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528000,682000,855000,1020000,950000,751000,1160000,987000,796000,642000,706000,625000,562000,517000,851000,962000,810000,672000,538000,477000,386000,370000,317000,477000,491000,466000,408000,546000,642000,506000,391000,293000,245000,175000,128000,117000,118000,112000,137000,147000,NA,"SARDPVIIIc-IXa","27","Sardina pilchardus","27_Sardina pilchardus"
"174",381000,365000,341000,313000,283000,254000,227000,204000,183000,166000,150000,135000,121000,108000,98000,114000,131000,143000,141000,139000,133000,124000,113000,103000,91000,89000,87000,91000,93000,98000,105000,113000,117000,117000,117000,119000,118000,122000,130000,135000,136000,144000,147000,146000,140000,132000,123000,114000,103000,93000,84000,75000,68000,67000,66000,64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SBELLYROCKPCOAST","77","Sebastes jordani","77_Sebastes jordani"
"175",7920000,7840000,7750000,7640000,7530000,7340000,7140000,6890000,6670000,6470000,6300000,6e+06,5670000,5270000,5020000,4830000,4720000,4630000,4490000,4270000,4100000,4010000,3790000,3660000,3540000,3460000,3430000,3400000,3400000,3380000,3350000,3290000,3180000,3120000,2960000,2820000,2650000,2450000,2290000,2060000,1870000,1730000,1560000,1450000,1340000,1260000,1170000,1090000,1e+06,982000,982000,927000,871000,838000,816000,783000,727000,728000,762000,729000,763000,763000,786000,842000,899000,989000,1070000,NA,NA,"SBT","57","Thunnus maccoyii","57_Thunnus maccoyii"
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647000,642000,640000,643000,656000,691000,756000,792000,854000,930000,1050000,1120000,1210000,1330000,1360000,1400000,1390000,1380000,1260000,1140000,1020000,907000,835000,742000,654000,583000,503000,431000,379000,320000,271000,235000,210000,187000,183000,171000,167000,162000,159000,NA,NA,"SBWHITCH","87","Micromesistius australis","87_Micromesistius australis"
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32800,36100,36400,32000,24900,20300,18900,17400,15400,14700,15800,19700,21500,24200,25000,23600,19300,13200,12300,17000,21100,23300,26400,35600,53700,77300,97100,108000,116000,126000,126000,125000,120000,118000,119000,115000,112000,112000,133000,NA,NA,NA,NA,NA,"SCALL5ZMAB","21","Placopecten magellanicus","21_Placopecten magellanicus"
"178",12800,12800,12700,12800,12700,12800,12700,12700,12700,12700,12700,12600,12600,12500,12500,12500,5470,7010,8510,12200,11900,11500,11900,11400,12000,11900,12100,12600,9850,9710,9850,12300,12400,6930,9760,5980,7030,7050,4670,4280,4750,5910,6220,4220,3790,5230,5280,4050,7390,9520,12100,12300,12500,12600,11500,12700,12900,12800,12800,12800,12900,12900,12500,12800,NA,NA,NA,NA,NA,"SHCROCKPCOAST","67","Sebastes zacentrus","67_Sebastes zacentrus"
"179",1430000,1420000,1410000,1410000,1410000,1410000,1410000,1410000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1390000,1390000,1380000,1380000,1380000,1370000,1370000,1370000,1370000,1360000,1360000,1360000,1360000,1350000,1350000,1350000,1340000,1340000,1310000,1160000,873000,744000,844000,684000,498000,561000,951000,1030000,1320000,1200000,1050000,1080000,1190000,1810000,1600000,1320000,1370000,1090000,808000,1100000,1240000,578000,510000,698000,939000,947000,NA,NA,NA,NA,NA,NA,NA,"SKJCIO","57","Katsuwonus pelamis","57_Katsuwonus pelamis"
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3260000,3840000,3710000,3110000,2920000,3060000,3440000,3230000,3e+06,2910000,3310000,4320000,4610000,4110000,4430000,4830000,5100000,4570000,4080000,4e+06,3880000,3910000,4240000,4440000,4410000,4180000,4510000,4650000,4250000,3780000,3710000,3350000,3390000,3860000,4020000,4270000,3710000,3380000,3470000,3410000,3770000,4470000,4840000,4410000,NA,NA,NA,"SKJCWPAC","71","Katsuwonus pelamis","71_Katsuwonus pelamis"
"181",768000,768000,768000,768000,768000,768000,767000,768000,768000,768000,768000,767000,764000,760000,758000,755000,752000,752000,743000,742000,738000,722000,711000,708000,692000,7e+05,713000,699000,686000,689000,689000,682000,670000,670000,679000,691000,694000,690000,678000,678000,675000,642000,628000,622000,617000,623000,636000,651000,658000,652000,653000,657000,668000,670000,660000,653000,656000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKJEATL","34","Katsuwonus pelamis","34_Katsuwonus pelamis"
"182",58300,58300,58300,57800,57700,57700,57700,57600,57400,57500,57500,56900,56800,57300,56600,56000,57400,57500,57100,57100,57400,57200,57400,57000,57000,56700,56600,56500,56700,55100,55100,52500,46700,39500,36400,31700,22400,19000,24400,32100,36200,38900,35100,35200,32800,33800,40600,40100,37000,37200,38500,37900,36000,41900,42400,40900,39600,40300,41300,43900,42600,43700,38300,35100,37600,NA,NA,NA,NA,"SKJWATL","41","Katsuwonus pelamis","41_Katsuwonus pelamis"
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2550,2780,2940,2910,2870,2650,2440,2250,2010,1800,1460,1390,1360,1320,1370,1380,1270,1140,1050,922,985,1150,1170,1190,1010,1040,1020,1030,1100,1160,1140,1060,922,797,800,890,941,972,1130,1200,NA,NA,NA,NA,NA,"SNOWGROUPSATLC","31","Epinephelus niveatus","31_Epinephelus niveatus"
"184",85800,85700,85500,85300,84900,84300,83800,83100,82600,82200,81500,80500,79800,79400,79100,79000,78500,73600,68300,65100,64500,63800,63000,62100,60800,59700,58400,57100,55700,54200,52700,51100,49500,48400,46800,44900,42900,41700,40900,39900,39500,39000,38200,38000,37300,36600,36100,36000,36300,34400,35600,36200,38000,42800,46700,51700,56700,60700,64900,70200,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNROCKPCOAST","67","Sebastes diploproa","67_Sebastes diploproa"
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8910,7510,6250,6210,5480,5030,5630,4790,4800,4970,4390,4570,4940,5180,4640,4470,3620,3760,3140,3760,3470,3720,3760,3190,3030,3010,2970,3020,4190,3800,5230,5720,5350,4600,4500,3840,3650,4150,4850,4560,4460,4260,3990,3640,3820,3890,4500,4690,"SOLECS","27","Solea solea","27_Solea solea"
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7130,7410,5730,6550,6190,6230,5500,5510,6240,6890,6430,5910,4750,4920,6790,7860,9530,8570,6010,5190,4300,4490,4470,3870,5000,3980,3090,3460,4270,4340,3930,4330,4040,3630,2800,2530,1900,1660,1600,1360,1480,1270,1310,1230,989,1570,1750,2340,2570,"SOLEIS","27","Solea solea","27_Solea solea"
"187",NA,NA,NA,NA,NA,NA,NA,71600,77100,87000,98100,107000,91100,71900,68000,121000,119000,114000,103000,88400,80400,83800,75500,67700,70800,67000,58500,60000,64700,60700,50100,61500,76200,84600,77400,63200,60900,63200,86200,124000,151000,126000,126000,116000,1e+05,76600,56400,58100,72400,74500,63500,55200,53500,58600,54000,42000,41200,45800,47300,45500,55300,69800,50700,52400,54900,68700,67200,64800,NA,"SOLENS","27","Solea solea","27_Solea solea"
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2930,3020,2840,3090,3270,3510,4430,4100,5340,5430,6010,6390,5960,5920,5380,5460,5570,5260,5310,5120,4320,4220,4220,4100,3580,3790,3880,4160,3850,3960,3970,4340,4550,4220,4440,4060,4040,3750,3840,3820,3960,4370,4640,4460,4280,4480,4510,5500,5270,NA,"SOLEVIIe","27","Solea solea","27_Solea solea"
"189",51900,50700,48100,46600,45800,44800,43900,42200,40200,37900,35500,33200,32900,30700,29100,27800,27500,26900,26500,25500,24000,23500,23100,22400,21800,20500,20700,19700,20100,20000,19900,20100,18700,17100,16500,16700,18300,15000,13200,13100,14500,15700,16800,14500,13300,11000,11500,12600,13100,15500,15800,16300,16100,16300,18000,19700,22000,22100,24300,25300,25100,28400,NA,NA,NA,NA,NA,NA,NA,"SPANMACKGM","31","Scomberomorus maculatus","31_Scomberomorus maculatus"
"190",16400,17100,18500,19000,19400,20300,20400,19800,19400,17600,18500,19300,19500,20000,20600,21200,21100,21400,21800,20900,21100,20600,20700,20400,20200,20400,19200,15500,12100,11800,12000,9670,9940,9190,7140,6830,6960,8200,8360,7840,7650,8090,8100,8170,7430,7430,7680,7970,7860,8400,9420,9720,9820,10600,11000,11600,11700,11800,12400,13500,13200,12100,11400,NA,NA,NA,NA,NA,NA,"SPANMACKSATLC","31","Scomberomorus maculatus","31_Scomberomorus maculatus"
"191",773000,759000,739000,704000,680000,663000,615000,589000,566000,552000,538000,525000,518000,496000,468000,472000,444000,431000,426000,392000,381000,385000,379000,414000,409000,491000,508000,575000,635000,585000,566000,570000,665000,705000,778000,837000,835000,876000,847000,809000,768000,763000,938000,1080000,1110000,1200000,1240000,1160000,1080000,1110000,1100000,1010000,750000,673000,398000,355000,310000,302000,331000,292000,302000,291000,288000,284000,312000,326000,NA,NA,NA,"SPHAKECH","87","Merluccius gayi","87_Merluccius gayi"
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780000,1290000,2080000,1940000,1280000,859000,604000,750000,779000,1690000,1370000,1150000,857000,844000,611000,877000,1140000,1350000,1930000,2140000,2210000,3270000,3050000,2790000,2500000,2080000,2260000,1830000,1570000,1560000,2180000,1910000,1710000,1770000,1770000,2030000,1710000,1310000,1280000,1250000,1170000,1840000,1940000,1980000,NA,"SPRAT22-32","27","Sprattus sprattus","27_Sprattus sprattus"
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2970000,4100000,1340000,2080000,1450000,1820000,2190000,1040000,602000,793000,470000,263000,1160000,1110000,1950000,784000,1280000,3200000,2220000,2090000,1140000,538000,965000,1440000,1380000,1290000,1440000,1020000,1220000,1100000,2260000,1080000,1070000,955000,1650000,1390000,1680000,1350000,1810000,2650000,5120000,2560000,NA,NA,NA,"SPRATNS","27","Sprattus sprattus","27_Sprattus sprattus"
"194",249000,245000,242000,241000,241000,241000,241000,240000,240000,240000,240000,240000,239000,239000,239000,239000,240000,240000,240000,240000,240000,240000,240000,240000,240000,241000,241000,241000,241000,241000,240000,239000,239000,238000,237000,237000,237000,236000,235000,235000,234000,234000,233000,233000,232000,231000,230000,229000,229000,228000,227000,226000,225000,224000,224000,222000,222000,221000,219000,219000,218000,217000,NA,NA,NA,NA,NA,NA,NA,"SPSDOGPCOAST","67","Squalus suckleyi","67_Squalus suckleyi"
"195",1450000,1440000,1420000,1390000,1370000,1340000,1310000,1280000,1260000,1220000,1200000,1160000,1120000,1090000,1040000,1e+06,975000,953000,928000,891000,858000,829000,803000,771000,741000,714000,690000,667000,645000,617000,598000,575000,553000,537000,516000,496000,472000,454000,424000,401000,383000,366000,348000,330000,315000,304000,293000,285000,279000,273000,269000,261000,252000,248000,244000,242000,241000,245000,250000,256000,262000,267000,272000,278000,284000,290000,296000,NA,NA,"SPURDNEATL","27","Squalus acanthias","27_Squalus acanthias"
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3550,3250,2950,2700,2440,2270,2220,2210,2130,2010,1910,1910,1990,2030,2000,1910,1780,1620,1450,1310,1170,1070,1110,1010,1120,852,1130,1340,1270,1370,1370,1310,1360,1090,1120,1060,1270,1140,1380,1310,1190,1070,NA,NA,NA,NA,"SSLOBSTERSASC","47","Palinurus gilchristi","47_Palinurus gilchristi"
"197",331000,332000,332000,333000,334000,335000,336000,336000,337000,338000,339000,340000,341000,342000,343000,344000,344000,344000,344000,342000,342000,342000,342000,340000,337000,335000,333000,331000,330000,328000,326000,324000,321000,318000,314000,309000,304000,301000,297000,293000,287000,282000,277000,273000,268000,263000,261000,259000,257000,255000,254000,253000,253000,252000,251000,251000,250000,250000,249000,247000,246000,245000,244000,244000,NA,NA,NA,NA,NA,"SSTHORNHPCOAST","67","Sebastolobus alascanus","67_Sebastolobus alascanus"
"198",56600,56600,56600,56500,56300,55500,55000,53500,52500,51700,50500,49800,48900,48900,49100,48900,47400,45500,43600,43200,42000,41400,42200,43100,44500,43700,43700,43400,41900,38200,37400,35300,33300,34200,34300,34500,33700,30500,28300,27700,27300,28800,29300,29800,26100,24500,22200,19900,18600,16800,15800,14900,14800,14600,14500,13500,13300,12800,13000,13300,14000,14800,NA,NA,NA,NA,NA,NA,NA,"STMARLINIO","51","Kajikia audax","51_Kajikia audax"
"199",NA,NA,27900,29100,28900,22900,20800,20000,20400,20000,19600,18400,15300,13700,12600,12600,11700,10500,10900,12600,15000,15100,14000,12900,11700,10900,10900,11100,11800,10900,10900,11400,10100,9060,9070,8440,7820,8200,8870,8510,7090,6720,7550,8850,9560,8840,9110,10000,10500,9470,8020,7470,7400,6890,6080,5490,5560,5930,6250,6010,5910,6640,NA,NA,NA,NA,NA,NA,NA,"STMARLINSWPO","71","Kajikia audax","71_Kajikia audax"
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28400,22100,18400,14200,19400,19300,18300,17700,15600,13900,21700,20500,15400,16300,14600,12400,15700,14100,16000,11400,10800,8800,7750,9870,8400,6830,8070,7480,10100,9870,8090,8680,6920,6770,6410,5160,7820,7350,6820,NA,NA,NA,NA,NA,"STMARLINWCNPAC","77","Kajikia audax","77_Kajikia audax"
"201",13400,13500,13500,13500,13500,13500,13600,13600,13600,13500,13400,13300,13400,13500,13400,13400,13300,13300,13300,13300,13300,13200,13200,13300,13200,13100,13100,12900,12800,12700,12400,12100,11300,10500,9840,10300,10900,10600,11100,11300,11300,10500,9910,9860,8650,7950,7010,6730,6880,7200,7900,8460,8270,8150,8140,8510,8810,8600,8080,7670,7490,7510,7480,7670,8050,8420,8610,NA,NA,"SWHITSE","57","Sillago flindersi","57_Sillago flindersi"
"202",NA,57200,55000,51500,45600,38400,37000,41700,40900,39700,42900,49300,54900,59300,60000,58100,60200,62400,64300,67100,64900,61000,61400,62900,59700,56500,55900,55000,52200,49500,50500,52000,48800,46200,43100,42200,44200,44500,42500,42200,43400,39800,38100,35900,32200,31500,33600,36200,38000,37900,43400,46500,44300,42000,40700,39600,43100,48000,53800,60600,62100,60800,58600,NA,NA,NA,NA,NA,NA,"SWORDEPAC","77","Xiphias gladius","77_Xiphias gladius"
"203",111000,114000,117000,118000,119000,120000,121000,121000,120000,119000,118000,118000,118000,118000,113000,109000,108000,106000,106000,105000,104000,104000,107000,110000,111000,111000,109000,110000,111000,106000,103000,99000,97900,95200,91700,90400,87800,81800,74600,68700,65100,63000,61700,60000,56700,54600,50900,48600,48300,48900,50100,51700,54900,58700,60800,62300,63500,65600,67000,69600,71100,73000,73900,NA,NA,NA,NA,NA,NA,"SWORDNATL","27","Xiphias gladius","27_Xiphias gladius"
"204",NA,105000,87000,79600,81800,78800,74900,75800,81900,77000,77200,73300,68900,73500,74700,80100,78800,73000,68500,68900,70600,72200,74600,81000,86200,86000,85900,81000,78000,79300,85700,88200,91100,103000,106000,117000,118000,121000,117000,108000,109000,104000,104000,94700,80200,70200,65700,60900,60200,65200,69800,74000,75500,71600,73400,73900,76300,72300,68600,68800,69000,68600,72500,NA,NA,NA,NA,NA,NA,"SWORDNPAC","61","Xiphias gladius","61_Xiphias gladius"
"205",NA,NA,NA,NA,NA,NA,102000,107000,111000,113000,114000,115000,115000,115000,114000,114000,113000,113000,113000,112000,110000,108000,110000,110000,110000,110000,110000,110000,110000,111000,110000,108000,108000,106000,106000,102000,99200,1e+05,101000,95500,88100,82000,80200,78800,75400,69800,61900,57800,53400,53500,52100,50300,49100,48900,50100,51000,51800,51600,50000,51400,52800,54200,57000,NA,NA,NA,NA,NA,NA,"SWORDSATL","41","Xiphias gladius","41_Xiphias gladius"
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262000,401000,566000,695000,765000,761000,722000,673000,623000,564000,489000,431000,365000,308000,299000,281000,199000,142000,94200,67400,65600,92900,133000,178000,215000,216000,183000,150000,107000,75900,55600,41900,35600,33100,35100,39800,48500,56300,67600,83000,96300,104000,109000,108000,102000,99100,104000,118000,140000,151000,137000,NA,NA,NA,"TANNERCRABBSAI","67","Chionoecetes bairdi","67_Chionoecetes bairdi"
"207",8340,9420,9820,9950,9460,9250,8500,7920,8360,9720,10700,10600,11300,12300,11800,11300,11500,12300,12900,14000,13600,13200,13100,12400,11200,10900,10400,10700,11300,12300,13000,13600,14300,15100,16300,17900,19100,20200,20400,19700,18900,18700,18200,18100,19200,20600,20900,21200,20900,20700,21200,22900,24000,23500,22200,21700,22200,21000,19800,18800,18900,19700,20300,21300,22800,23400,NA,NA,NA,"TIGERFLATSE","81","Neoplatycephalus richardsoni","81_Neoplatycephalus richardsoni"
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3050,3050,3040,3030,3020,3000,2980,2950,2920,2890,2860,2820,2780,2730,2700,2660,2630,2520,2390,2300,2180,2080,1980,1800,1480,1370,1300,1300,1300,1290,1260,1200,1260,1260,1310,1350,1350,1340,1310,1310,1260,1140,1120,1070,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TILEGM","31","Lopholatilus chamaeleonticeps","31_Lopholatilus chamaeleonticeps"
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7840,7900,7960,8010,8050,8100,8140,8180,8220,8250,8280,8300,8310,8300,8220,8120,8020,7850,7680,7440,6820,5150,4290,3790,3200,2880,3010,3090,3030,2950,2830,2640,2450,2310,2260,2350,2350,2440,2440,2730,3130,3620,4060,4550,4860,4960,5170,5340,5270,5240,NA,NA,NA,NA,NA,NA,NA,"TILESATLC","31","Lopholatilus chamaeleonticeps","31_Lopholatilus chamaeleonticeps"
"210",63700,63700,63600,63500,63400,63200,63000,62700,62200,61700,61100,60600,60500,60400,60200,59700,58700,57200,55800,54600,53200,51100,48700,46200,43800,41700,39800,38000,36500,35500,34700,33700,32600,31500,30700,30100,29900,30700,31900,33000,34100,34500,34500,33900,32600,31200,30000,29400,29100,28800,28700,28600,28800,28800,28600,28200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TREVALLYTRE7","81","Pseudocaranx dentex","81_Pseudocaranx dentex"
"211",31900,31800,31600,31300,31000,30600,30300,29800,29300,28800,28200,27700,27400,27000,26700,26400,26200,25900,25600,25300,24900,24600,24300,24100,23900,23700,23400,23200,22800,22500,22200,21900,21700,21400,21200,20600,20000,19000,18300,17600,17200,16400,15900,15000,13900,12200,11100,10600,9830,9190,9380,10100,10200,10400,10200,9850,9830,10800,11100,10700,10100,10300,10300,10900,11500,NA,NA,NA,NA,"VSNAPGM","31","Rhomboplites aurorubens","31_Rhomboplites aurorubens"
"212",8020,7980,7930,7870,7810,7730,7660,7570,7490,7390,7290,7190,7060,6920,6800,6690,6590,6510,6440,6380,6340,6310,6260,6190,6130,6050,5440,6400,5950,5330,5030,4500,4850,4890,4560,4570,4520,4010,3460,4710,3930,3280,3110,2780,3120,2670,2600,2940,3010,3320,3430,3110,2970,2900,2560,2590,2820,2750,2560,2290,2200,2190,2120,NA,NA,NA,NA,NA,NA,"VSNAPSATLC","31","Rhomboplites aurorubens","31_Rhomboplites aurorubens"
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15200,16200,15400,14200,13900,12900,10700,7340,7250,5920,4910,4770,4480,3750,3790,4580,6520,7490,6780,5770,5080,4920,5790,7920,9330,9550,8980,8780,9070,9130,8930,9350,10500,11700,12600,12900,13400,13400,13300,"WANGLVIIIc-IXa","27","Lophius piscatorius","27_Lophius piscatorius"
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20100,19200,18500,18000,18900,20800,23000,25900,28800,31000,33700,36400,37700,38800,39000,38000,37000,36500,35300,32800,29100,26500,24100,21100,19600,18600,17700,18500,18900,20400,17000,12300,11000,10500,9870,11000,12300,11500,12600,15300,16100,15400,14900,13600,16700,19200,19100,24600,31200,NA,NA,NA,NA,NA,NA,NA,"WHAKEGBGOM","21","Urophycis tenuis","21_Urophycis tenuis"
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632000,715000,609000,492000,461000,413000,387000,375000,455000,374000,361000,420000,356000,373000,344000,323000,320000,297000,281000,332000,335000,399000,525000,450000,291000,251000,328000,311000,472000,447000,305000,373000,429000,355000,283000,282000,476000,424000,369000,283000,279000,"WHITNS-VIId","27","Merlangius merlangus","27_Merlangius merlangus"
"216",NA,NA,NA,NA,NA,NA,38200,38200,38100,38100,37900,37700,37300,36200,34700,32400,29400,26900,25000,23700,22900,22100,21000,20200,19400,18700,18100,17600,17500,17200,17100,17000,16800,16800,16300,15900,15500,15100,14700,14300,13700,13300,12700,12300,11900,11500,11000,10500,9990,9470,9090,8820,8390,8110,8060,8010,8160,8190,8220,8350,8320,8310,NA,NA,NA,NA,NA,NA,NA,"WMARLINATL","41","Tetrapturus albidus","41_Tetrapturus albidus"
