"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","stockid","primary_FAOarea","scientificname","fao_sp"
"39",663,658,652,647,644,641,637,631,626,614,607,602,599,597,592,592,587,580,570,562,556,540,531,516,497,476,457,435,418,410,393,380,385,377,381,386,380,365,339,326,315,305,290,269,253,224,208,203,195,202,206,209,212,215,219,229,234,241,248,253,253,254,259,264,272,280,NA,NA,NA,"CHROCKSPCOAST","77","Sebastes nebulosus","77_Sebastes nebulosus"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64600,63200,62200,61600,60400,60100,62200,64000,78200,72400,65100,74600,66800,44300,44900,31800,25600,24900,30600,28000,23000,22500,19500,25300,24800,24600,22000,19400,22800,22400,22900,21600,27100,29000,23800,21400,22600,25200,29500,27200,22100,18100,18700,NA,NA,NA,NA,NA,"CHSQUIDSA","47","Loligo reynaudii","47_Loligo reynaudii"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12300000,11800000,11600000,11700000,11900000,12200000,13100000,14400000,15400000,16500000,17800000,19400000,20900000,21300000,22200000,23400000,25700000,27200000,27300000,26100000,24300000,22200000,19600000,1.7e+07,14700000,12100000,8730000,7070000,6310000,6800000,8060000,9020000,8560000,8610000,8340000,7700000,6760000,5310000,3810000,2770000,2360000,NA,NA,NA,NA,NA,NA,NA,NA,"CHTRACCH","87","Trachurus murphyi","87_Trachurus murphyi"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3120000,3860000,4470000,4130000,3890000,3340000,3670000,4590000,4740000,3190000,1700000,1640000,1550000,1360000,1770000,1660000,1380000,881000,528000,292000,215000,337000,727000,768000,340000,358000,694000,642000,278000,233000,243000,151000,209000,228000,730000,836000,738000,570000,566000,747000,946000,1020000,1030000,1360000,NA,NA,NA,NA,NA,"CMACKPJPN","61","Scomber japonicus","61_Scomber japonicus"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030000,1030000,946000,976000,1070000,1040000,1120000,921000,985000,1120000,1050000,902000,926000,866000,1250000,1220000,876000,636000,735000,917000,1100000,1120000,1290000,1370000,832000,715000,617000,446000,559000,467000,459000,627000,509000,443000,522000,697000,556000,523000,543000,528000,428000,NA,NA,NA,NA,NA,"CMACKTSST","61","Scomber japonicus","61_Scomber japonicus"
"44",8740,8670,8550,8400,8190,7920,7640,7370,7100,6810,6520,6260,6130,5950,5780,5590,5520,5490,5430,5340,5230,5170,5070,4900,4710,4490,4340,4160,3970,3690,3430,3300,3310,2750,2130,2410,2030,2350,2260,2060,2630,3370,3570,3300,3730,3920,4410,4630,3830,3590,3390,3080,3180,3020,2680,2740,2670,2580,2800,2970,3150,3020,NA,NA,NA,NA,NA,NA,NA,"COBGM","31","Rachycentron canadum","31_Rachycentron canadum"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123000,105000,123000,160000,191000,202000,177000,131000,112000,93300,67900,48900,40100,56600,86000,119000,148000,131000,68800,19600,4170,3270,3850,3820,4020,3680,4030,5360,8060,12000,16300,29200,61800,91300,102000,73900,87900,82000,82500,102000,116000,126000,91000,80500,81200,NA,"COD1f-XIV","27","Gadus morhua","27_Gadus morhua"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,87800,81700,97000,86800,67000,78400,55000,40000,24800,27300,44500,50300,39700,29200,21100,11200,8240,7090,5560,3720,3200,2860,3880,4790,5860,9030,14400,15000,17300,24200,31700,33400,33700,35000,36000,54700,63800,72800,73600,60800,46100,NA,"COD1IN","21","Gadus morhua","21_Gadus morhua"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266000,260000,273000,289000,313000,332000,368000,426000,395000,446000,338000,420000,395000,302000,203000,189000,119000,82700,53000,25800,11700,17000,19200,20900,22700,26400,26700,26900,28300,27100,31400,32100,32700,37000,33600,32800,31900,28300,26400,24300,31800,47100,NA,NA,NA,"COD3Pn4RS","21","Gadus morhua","21_Gadus morhua"
"48",218000,239000,277000,314000,333000,325000,319000,287000,269000,232000,197000,209000,233000,221000,173000,145000,121000,118000,124000,151000,170000,136000,119000,108000,81400,70700,75000,80400,161000,250000,299000,319000,326000,299000,292000,338000,338000,302000,270000,243000,193000,154000,125000,106000,102000,106000,111000,116000,109000,1e+05,104000,105000,93800,76800,68000,58900,57700,50300,41300,34300,34300,NA,NA,NA,NA,NA,NA,NA,NA,"COD4TVn","21","Gadus morhua","21_Gadus morhua"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347000,410000,413000,390000,355000,329000,350000,398000,476000,526000,516000,529000,665000,879000,958000,958000,991000,941000,846000,722000,532000,483000,439000,333000,257000,184000,128000,140000,224000,238000,210000,181000,149000,135000,151000,142000,129000,122000,112000,104000,128000,126000,155000,193000,203000,198000,233000,NA,NA,NA,NA,NA,NA,"CODBA2532","27","Gadus morhua","27_Gadus morhua"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,65500,76300,67900,71100,82900,82300,71200,73000,91000,103000,103000,93300,68900,66400,95700,128000,144000,144000,128000,90200,77800,79100,82600,91400,128000,166000,134000,95800,70900,61900,63900,40900,27000,26900,35600,65100,136000,132000,86700,58600,57500,92000,125000,111000,65200,34900,29300,27200,24200,24600,30300,44800,33600,21100,18300,25900,27700,30700,37500,64500,"CODFAPL","27","Gadus morhua","27_Gadus morhua"
"51",NA,NA,NA,NA,NA,2350000,2070000,1870000,1860000,1820000,1750000,1490000,1490000,1310000,1220000,1020000,1030000,1100000,1220000,1330000,1340000,1100000,997000,844000,918000,896000,956000,1290000,1300000,1400000,1490000,1240000,971000,791000,914000,928000,854000,1030000,1030000,1e+06,841000,698000,551000,595000,576000,557000,671000,783000,721000,731000,590000,688000,729000,740000,8e+05,724000,701000,681000,704000,799000,843000,932000,1050000,1160000,NA,NA,NA,NA,NA,"CODICE","27","Gadus morhua","27_Gadus morhua"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464000,593000,756000,906000,961000,823000,682000,1070000,1210000,866000,693000,664000,748000,604000,903000,1020000,958000,1150000,967000,1020000,815000,833000,564000,747000,705000,521000,523000,357000,326000,507000,397000,507000,542000,412000,619000,320000,216000,271000,191000,163000,137000,120000,137000,147000,196000,203000,212000,222000,205000,178000,226000,280000,251000,219000,243000,NA,"CODIIIaW-IV-VIId","27","Gadus morhua","27_Gadus morhua"
