assessid,fao_area
IFOP-SSARDCH-2006-2012-CHING,87
IFOP-YNOSESKACH-1979-2011-CHING,87
IFREMER-ANCHMEDGSA7-1993-2012-BANOBI,37
IFREMER-SARDMEDGSA7-1993-2012-BANOBI,37
IMARM-SFMAKONWPAC-1990-2003-FAUCONNET,61
IMARPE-PANCHPERUNC-1959-2008-HIVELY,87
INIDEP-ARGANCHONARG-1989-2007-Parma,41
INIDEP-ARGANCHOSARG-1992-2007-Parma,41
INIDEP-ARGHAKENARG-1986-2011-CHING,41
INIDEP-ARGHAKESARG-1990-2011-CHING,41
INIDEP-PATGRENADIERSARG-1983-2006-Parma,41
INIDEP-SBWHITARGS-1985-2007-Parma,41
IOTC-ALBAIO-1950-2014-PONS,57
IOTC-BIGEYEIO-1950-2014-PONS,51
IOTC-BLKMARLINIO-1950-2014-PONS,51
IOTC-BMARLINIO-1950-2014-PONS,51
IOTC-SKJCIO-1950-2014-PONS,57
IOTC-STMARLINIO-1950-2014-PONS,51
IOTC-SWORDIO-1950-2014-PONS,51
IOTC-YFINEIO-1950-2014-PONS,51
IPHC-PHALNPAC-1888-2014-HIVELY,67
ISC-ALBANPAC-1950-2012-PONS,77
ISC-BMARLINPAC-1952-2011-PONS,77
ISC-PACBTUNA-1952-2012-PONS,77
ISC-STMARLINWCNPAC-1951-2010-CHING,61
ISC-SWORDNPAC-1951-2012-PONS,61
MARAM-ANCHOSA-1984-2011-deMoor,NA
MARAM-CHAKESA-1917-2015-Rademeyer,47
MARAM-CHSQUIDSA-1971-2013-GLAZER,47
MARAM-CRLOBSTERSA12-1910-2014-Johnston,47
MARAM-CRLOBSTERSA34-1910-2014-Johnston,47
MARAM-CRLOBSTERSA56-1910-2014-Johnston,47
MARAM-CRLOBSTERSA7-1910-2014-Johnston,47
MARAM-CRLOBSTERSA8-1910-2014-Johnston,47
MARAM-CTRACSA-1949-2013-Furman,47
MARAM-DEEPCHAKESA-1917-2015-Rademeyer,47
MARAM-KINGKLIPSA-1986-2012-Brandao,NA
MARAM-PTOOTHFISHPEI-1960-2015-Brandao,58
MARAM-SAABALONESA-1951-2015-Brandao,41
MARAM-SARDSA-1984-2011-deMoor,NA
MARAM-SSLOBSTERSASC-1973-2014-Johnston,47
NAFO-SC-AMPL3LNO-1955-2007-BAUM,21
NAFO-SC-AMPL3M-1960-2007-BAUM,21
NAFO-SC-COD3M-1960-2012-CHING,21
NAFO-SC-COD3NO-1953-2011-CHING,21
NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE,21
NAFO-SC-GHAL23KLMNO-1960-2010-WATSON,21
NAFO-SC-REDFISHSPP1-1965-2004-PREFONTAINE,21
NAFO-SC-REDFISHSPP3LN-1959-2013-WATSON,21
NAFO-SC-REDFISHSPP3M-1988-2014-WATSON,21
NAFO-SC-TSKA3LNOPs-1960-2014-OSGOOD,21
NAFO-SC-WHAKE3NOPs-1960-2015-OSGOOD,21
NAFO-SC-YELL3LNO-1960-2015-WATSON,21
NEFSC-ACADREDGOMGB-1913-2007-MILLER,21
NEFSC-AMPL5YZ-1960-2010-HIVELY,21
NEFSC-ATHAL5YZ-1800-2007-COL,21
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,31
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,21
