stockid,scientificname
WROCKPCOAST,Sebastes entomelas
WSHRIMPGM,Litopenaeus setiferus
WSKAT5YCHATT,Leucoraja ocellata
YEGROUPGM,Epinephelus flavolimbatus
YELL3LNO,Limanda ferruginea
YELLCCODGOM,Limanda ferruginea
YELLGB,Limanda ferruginea
YELLSNEMATL,Limanda ferruginea
YEYEROCKPCOAST,Sebastes ruberrimus
YFINATL,Thunnus albacares
YFINCWPAC,Thunnus albacares
YFINEIO,Thunnus albacares
YFINEPAC,Thunnus albacares
YNOSESKACH,Zearaja chilensis
YSOLEBSAI,Limanda aspera
YTROCKNPCOAST,Sebastes flavidus
YTSNAPSATLCGM,Ocyurus chrysurus
